"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"Black or African American"	"2054-5"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	65	157893	41.2
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	"Alzheimer disease, unspecified"	"G30.9"	85	204565	41.6
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	"Alzheimer disease, unspecified"	"G30.9"	94	202887	46.3
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	"Alzheimer disease, unspecified"	"G30.9"	97	200255	48.4
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Alzheimer disease, unspecified"	"G30.9"	115	197825	58.1
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	"Alzheimer disease, unspecified"	"G30.9"	98	196451	49.9
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	"Alzheimer disease, unspecified"	"G30.9"	131	194603	67.3
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Alzheimer disease, unspecified"	"G30.9"	130	192673	67.5
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	"Alzheimer disease, unspecified"	"G30.9"	133	191391	69.5
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"Alzheimer disease, unspecified"	"G30.9"	118	189728	62.2
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"Alzheimer disease, unspecified"	"G30.9"	123	188974	65.1
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"Alzheimer disease, unspecified"	"G30.9"	109	188051	58.0
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"Alzheimer disease, unspecified"	"G30.9"	112	187277	59.8
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Alzheimer disease, unspecified"	"G30.9"	89	187012	47.6
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Alzheimer disease, unspecified"	"G30.9"	87	185998	46.8
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Alzheimer disease, unspecified"	"G30.9"	87	185225	47.0
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Alzheimer disease, unspecified"	"G30.9"	131	185432	70.6
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Alzheimer disease, unspecified"	"G30.9"	196	184669	106.1
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	193	182884	105.5
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	177	182393	97.0
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	"Alzheimer disease with late onset"	"G30.1"	10	182203	Unreliable
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	159	182203	87.3
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	145	181760	79.8
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	"Alzheimer disease with late onset"	"G30.1"	10	180183	Unreliable
	"Alabama"	"01"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	170	180183	94.3
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	"Alzheimer disease, unspecified"	"G30.9"	10	118947	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Alzheimer disease, unspecified"	"G30.9"	12	121921	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Alzheimer disease, unspecified"	"G30.9"	13	122443	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	"Alzheimer disease, unspecified"	"G30.9"	15	123282	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	"Alzheimer disease, unspecified"	"G30.9"	20	124963	16.0
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Alzheimer disease, unspecified"	"G30.9"	15	126080	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	"Alzheimer disease, unspecified"	"G30.9"	15	127303	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	"Alzheimer disease, unspecified"	"G30.9"	19	128004	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	"Alzheimer disease, unspecified"	"G30.9"	10	128183	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	"Alzheimer disease, unspecified"	"G30.9"	14	130119	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	"Alzheimer disease, unspecified"	"G30.9"	14	130469	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	"Alzheimer disease, unspecified"	"G30.9"	18	131047	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	18	132288	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	19	132506	Unreliable
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	29	132448	21.9
	"Alabama"	"01"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	18	132272	Unreliable
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	"Alzheimer disease, unspecified"	"G30.9"	33	189320	17.4
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	"Alzheimer disease, unspecified"	"G30.9"	26	188281	13.8
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	"Alzheimer disease, unspecified"	"G30.9"	31	186536	16.6
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	"Alzheimer disease, unspecified"	"G30.9"	31	185048	16.8
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	"Alzheimer disease, unspecified"	"G30.9"	30	184187	16.3
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	"Alzheimer disease, unspecified"	"G30.9"	37	182406	20.3
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	"Alzheimer disease, unspecified"	"G30.9"	37	180927	20.5
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	"Alzheimer disease, unspecified"	"G30.9"	47	179845	26.1
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	"Alzheimer disease, unspecified"	"G30.9"	32	178962	17.9
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"Alzheimer disease, unspecified"	"G30.9"	45	178516	25.2
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"Alzheimer disease, unspecified"	"G30.9"	34	178231	19.1
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"Alzheimer disease, unspecified"	"G30.9"	34	177375	19.2
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"Alzheimer disease, unspecified"	"G30.9"	40	176860	22.6
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"Alzheimer disease, unspecified"	"G30.9"	32	175963	18.2
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"Alzheimer disease, unspecified"	"G30.9"	30	175435	17.1
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"Alzheimer disease, unspecified"	"G30.9"	48	174812	27.5
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Alzheimer disease, unspecified"	"G30.9"	65	173881	37.4
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	64	172893	37.0
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	56	172364	32.5
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	58	172064	33.7
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	47	171732	27.4
	"Alabama"	"01"	"Male"	"M"	"White"	"2106-3"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	68	169729	40.1
	"Arizona"	"04"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	10	67496	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	"Alzheimer disease, unspecified"	"G30.9"	10	79518	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	"Alzheimer disease, unspecified"	"G30.9"	15	85344	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	"Alzheimer disease, unspecified"	"G30.9"	10	88553	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	"Alzheimer disease, unspecified"	"G30.9"	17	93637	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	"Alzheimer disease, unspecified"	"G30.9"	13	106335	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	12	108892	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	15	114051	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	20	122336	16.3
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	14	125778	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	30	131510	22.8
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	"Alzheimer disease, unspecified"	"G30.9"	10	61879	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	"Alzheimer disease, unspecified"	"G30.9"	11	67706	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	"Alzheimer disease, unspecified"	"G30.9"	13	75433	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Alzheimer disease, unspecified"	"G30.9"	14	80356	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Alzheimer disease, unspecified"	"G30.9"	21	86804	24.2
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	"Alzheimer disease, unspecified"	"G30.9"	16	93686	Unreliable
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	"Alzheimer disease, unspecified"	"G30.9"	22	99335	22.1
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"Alzheimer disease, unspecified"	"G30.9"	34	104944	32.4
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	"Alzheimer disease, unspecified"	"G30.9"	24	110127	21.8
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	"Alzheimer disease, unspecified"	"G30.9"	27	112736	23.9
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	"Alzheimer disease, unspecified"	"G30.9"	29	115859	25.0
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	"Alzheimer disease, unspecified"	"G30.9"	24	120712	19.9
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	"Alzheimer disease, unspecified"	"G30.9"	24	125060	19.2
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	"Alzheimer disease, unspecified"	"G30.9"	25	129774	19.3
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	"Alzheimer disease, unspecified"	"G30.9"	36	135762	26.5
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	37	141835	26.1
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	32	147146	21.7
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	39	153975	25.3
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	33	160151	20.6
	"Arizona"	"04"	"Female"	"F"	"Black or African American"	"2054-5"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	43	168365	25.5
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	"Alzheimer disease with late onset"	"G30.1"	69	1367495	5.0
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	"Alzheimer disease, unspecified"	"G30.9"	358	1367495	26.2
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	"Alzheimer disease with late onset"	"G30.1"	82	1394657	5.9
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	"Alzheimer disease, unspecified"	"G30.9"	396	1394657	28.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	"Alzheimer disease with late onset"	"G30.1"	67	1436907	4.7
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	"Alzheimer disease, unspecified"	"G30.9"	424	1436907	29.5
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Alzheimer disease with late onset"	"G30.1"	69	1469109	4.7
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Alzheimer disease, unspecified"	"G30.9"	556	1469109	37.8
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	"Alzheimer disease with late onset"	"G30.1"	66	1498917	4.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	"Alzheimer disease, unspecified"	"G30.9"	677	1498917	45.2
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	"Alzheimer disease with late onset"	"G30.1"	57	1534006	3.7
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	"Alzheimer disease, unspecified"	"G30.9"	681	1534006	44.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Alzheimer disease with late onset"	"G30.1"	53	1581321	3.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Alzheimer disease, unspecified"	"G30.9"	775	1581321	49.0
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	"Alzheimer disease with late onset"	"G30.1"	51	1618323	3.2
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	"Alzheimer disease, unspecified"	"G30.9"	929	1618323	57.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"Alzheimer disease with late onset"	"G30.1"	48	1642071	2.9
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"Alzheimer disease, unspecified"	"G30.9"	931	1642071	56.7
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"Alzheimer disease with late onset"	"G30.1"	35	1661743	2.1
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"Alzheimer disease, unspecified"	"G30.9"	910	1661743	54.8
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"Alzheimer disease with late onset"	"G30.1"	23	1670865	1.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"Alzheimer disease, unspecified"	"G30.9"	946	1670865	56.6
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"Alzheimer disease with late onset"	"G30.1"	35	1673677	2.1
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"Alzheimer disease, unspecified"	"G30.9"	1055	1673677	63.0
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Alzheimer disease with late onset"	"G30.1"	20	1696371	1.2
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Alzheimer disease, unspecified"	"G30.9"	1086	1696371	64.0
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Alzheimer disease with late onset"	"G30.1"	26	1717983	1.5
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Alzheimer disease, unspecified"	"G30.9"	926	1717983	53.9
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Alzheimer disease with late onset"	"G30.1"	26	1740945	1.5
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Alzheimer disease, unspecified"	"G30.9"	984	1740945	56.5
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Alzheimer disease with late onset"	"G30.1"	23	1771698	1.3
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Alzheimer disease, unspecified"	"G30.9"	957	1771698	54.0
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Alzheimer disease with late onset"	"G30.1"	33	1799684	1.8
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Alzheimer disease, unspecified"	"G30.9"	1077	1799684	59.8
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Alzheimer disease with late onset"	"G30.1"	25	1826782	1.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	1129	1826782	61.8
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	"Alzheimer disease with late onset"	"G30.1"	16	1845968	Unreliable
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	1113	1845968	60.3
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	"Alzheimer disease with late onset"	"G30.1"	16	1882403	Unreliable
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	1115	1882403	59.2
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	"Alzheimer disease with late onset"	"G30.1"	23	1910014	1.2
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	1125	1910014	58.9
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	"Alzheimer disease with late onset"	"G30.1"	28	1941124	1.4
	"Arizona"	"04"	"Female"	"F"	"White"	"2106-3"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	1164	1941124	60.0
	"Arizona"	"04"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	12	121354	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Alzheimer disease, unspecified"	"G30.9"	10	78580	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	"Alzheimer disease, unspecified"	"G30.9"	14	108277	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	"Alzheimer disease, unspecified"	"G30.9"	10	113232	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	"Alzheimer disease, unspecified"	"G30.9"	16	115842	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	"Alzheimer disease, unspecified"	"G30.9"	19	118602	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	"Alzheimer disease, unspecified"	"G30.9"	10	123701	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	"Alzheimer disease, unspecified"	"G30.9"	10	128403	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	"Alzheimer disease, unspecified"	"G30.9"	16	133418	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	"Alzheimer disease, unspecified"	"G30.9"	16	139371	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	20	144825	13.8
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	18	149385	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	18	155505	Unreliable
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	27	161261	16.7
	"Arizona"	"04"	"Male"	"M"	"Black or African American"	"2054-5"	"2020 "	"2020"	"Alzheimer disease, unspecified"	"G30.9"	20	169506	11.8
	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	"Alzheimer disease with late onset"	"G30.1"	14	1366191	Unreliable
	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	"Alzheimer disease, unspecified"	"G30.9"	173	1366191	12.7
	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	"Alzheimer disease with late onset"	"G30.1"	24	1397078	1.7
	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	"Alzheimer disease, unspecified"	"G30.9"	166	1397078	11.9
	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	"Alzheimer disease with late onset"	"G30.1"	18	1437452	Unreliable
